CodeJeu|NomJeu|DateAchat|Emplacement|Marque|Annee_Edition|NbJoueurs|AgeJoueurs|Manque|TypeJeu|NbPieces|TempsJeu|EtatJeu|Descriptif1|Descriptif2|Descriptif3|LienImg|Commentaire|NbPoints|NiveauJeu|Classification|PrixEstimé|Auteur|Illustrateur|SurPlace|Contenu1|Contenu2
1122|Premier jeux|10/07/2018||Nathan|||||8 jeux symboliques et imitatio|1||||||C:\Ludopret\Annexes\Images\1122 Premiers jeux Nathan.PNG||1|||0|||N||
1123|Histoires du soir Les Animaux|10/07/2018||||||||1||||||C:\Ludopret\Annexes\Images\1123  Histoires du soir - les animaux.PNG||1|||0|||N||
1124|Puissance quatre|10/07/2018||Nathan|||||8 jeux symboliques et imitatio|1||||||C:\Ludopret\Annexes\Images\1124 Puissance 4.PNG||1|||0|||N||
1125|Mimes et compagnie|10/07/2018||Living and learning|||||8 jeux symboliques et imitatio|1||||||C:\Ludopret\Annexes\Images\1125 Mimes et compagnie.PNG||1|||0|||N||
1126|Chercher|10/07/2018||Nathan|||||8 jeux symboliques et imitatio|1|||Jeux pour repérer les différences, les anomalies, les manquant, les opposés| | |C:\Ludopret\Annexes\Images\1126 les jeux du coquelicot - chercher.PNG||1|||0|||N||
1127|Ours brun dis-moi|10/07/2018||university games|||||8 jeux symboliques et imitatio|1||||||C:\Ludopret\Annexes\Images\1127 Ours brun, dis-moi.PNG||1|||0|||N||
1128|Dominos contraires|10/07/2018||Nathan|||||8 jeux symboliques et imitatio|1||||||C:\Ludopret\Annexes\Images\1128 Dominos contraires.PNG||1|||0|||N||
1129|Le monde des animaux|10/07/2018||Party games|||||8 jeux symboliques et imitatio|1||||||C:\Ludopret\Annexes\Images\1129 Le monde des animaux.PNG||1|||0|||N||
113|ENCASTREMENT WINNIE L'OURSON|27/05/2012|||||||1 motricité fine encast puzzle|0||||||C:\Ludopret\Annexes\Images\1130 Puzzle cubes.PNG||1|||0|||N||
1130|Puzzle cubes animaux de la ferme|10/07/2018||Boikido|||||1 motricité fine encast puzzle|1||||||C:\Ludopret\Annexes\Images\1131 Jeu en bois à pousser.PNG||1|||0|||N||
1131|Jeu en bois à pousser|10/07/2018||Renforsateurs|||||1 motricité fine encast puzzle|1||||||C:\Ludopret\Annexes\Images\1132 2yeux..PNG||1|||0|||N||
1132|2 Yeux ?|10/07/2018||||||||1||||||C:\Ludopret\Annexes\Images\1132 2yeux..PNG||1|||0|||N||
1133|Animozzz!|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1133 Animozzz !.PNG||1|||0|||N||
1134|Le vaste monde|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1134 Bambou découvre - le vaste monde.PNG||1|||0|||N||
1135|Les contraires avec PO|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1135 Les contraires avec Po - Teletubbies.PNG||1|||0|||N||
1136|Petibou|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1136 Petitbou - C'est pas moi.PNG||1|||0|||N||
1137|Où ont-ils ?|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1137 Bibliothèque petits lapins - où sont-ils.PNG||1|||0|||N||
1138|Les Formes|10/07/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1138 Les formes.PNG||1|||0|||N||
