CodeJeu|NomJeu|DateAchat|AnneeAchat|PrixAchat|PrixEstime|NomFournisseur
187|LIVRE LE CLOWN AMOUREUX|27/05/2012|2012|0|0|
188|LIVRE LE PATISSIER QUI FAIT DES MERVEILLES|27/05/2012|2012|0|0|
189|LIVRE LES AVENTURES DE PAULINE|27/05/2012|2012|0|0|
19|ASSIETTES DE TRI|27/05/2012|2012|0|0|
190|LIVRE LES DEVINETTES DU TRAIN FANTOME|27/05/2012|2012|0|0|
191|LIVRE LES LUTINS ET LE PAPILLON|27/05/2012|2012|0|0|
192|LIVRE LES P'TITS LOULOUS A LA PLAGE|27/05/2012|2012|0|0|
193|LIVRE LES VICTOIRES DE GREGOIRE|27/05/2012|2012|0|0|
194|LIVRE LOLO|27/05/2012|2012|0|0|
195|LIVRE L'OURS ET LE CERF-VOLANT|27/05/2012|2012|0|0|
196|LIVRE LULU SUR LA PLANETE AXA|27/05/2012|2012|0|0|
197|LIVRE MADEMOISELLE WIZ ET DRACULA|27/05/2012|2012|0|0|
198|LIVRE MES PREMIERES POESIES|27/05/2012|2012|0|0|
199|LIVRE MIRABELLE ET SES AMIS|27/05/2012|2012|0|0|
2|Le corps humain les poumons la respiration|27/05/2012|2012|0|5|
20|ASSOCIATION ET POIDS|27/05/2012|2012|0|0|
200|MON AMI L'ELEPHANT|27/05/2012|2012|0|0|
201|SUPER LIVRE ENCHANTE DE VTECH|27/05/2012|2012|0|0|
202|LIVRE OU EST NOUNOURS|27/05/2012|2012|0|0|
203|LIVRE POUR QUI CE PETIT BISOU|27/05/2012|2012|0|0|
204|LIVRE SI TU ES JOYEUX|27/05/2012|2012|0|0|
205|LIVRE TASKS GALORE JAUNE|27/05/2012|2012|0|0|
206|LIVRE TASKS GALORE VERT|27/05/2012|2012|0|0|
207|LIVRE TCHICCO|27/05/2012|2012|0|0|
208|LIVRE TITEUF AH, OUAIS D'ACCORD…|27/05/2012|2012|0|0|
209|LIVRE TITEUF C'EST PO UNE VIE…|27/05/2012|2012|0|0|
21|ATELIER DES MOTS 1|27/05/2012|2012|0|0|
210|LIVRE TITEUF LES FILLES, C'EST NUL…|27/05/2012|2012|0|0|
211|LIVRE TITEUF MEME PO MAL…|27/05/2012|2012|0|0|
212|LIVRE TOP DEFI - LE TEMPS|27/05/2012|2012|0|0|
213|LIVRE TOUCHE A TOUT - LES FORMES|27/05/2012|2012|0|0|
214|LIVRE UN ORAGE DANS MA TETE|27/05/2012|2012|0|0|
215|LOTO + MOTS 72 ALIMENTS|27/05/2012|2012|0|0|
216|LOTO DES EXPRESSIONS|27/05/2012|2012|0|0|
217|MAGNETICS MANNY ET SES OUTILS|27/05/2012|2012|0|0|
218|MAGNETICS SAVANE AFRICAINE|27/05/2012|2012|0|0|
219|MAISON DES FORMES|27/05/2012|2012|0|0|
22|ATELIER DES MOTS 2|27/05/2012|2012|0|0|
220|MARIONNETTES A DOIGT FAMILLE|27/05/2012|2012|0|0|
221|MARIONNETTES DES EMOTIONS|27/05/2012|2012|0|0|
222|MAXI TUBES|27/05/2012|2012|0|0|
223|MAXILOTO DE LA VIE QUOTIDIENNE|27/05/2012|2012|0|0|
224|MAXILOTO DES CONTRAIRES|27/05/2012|2012|0|0|
225|MEMO PHOTO LES ALIMENTS|27/05/2012|2012|0|0|
226|MEMORY PARLANT WINNIE L'OURSON|27/05/2012|2012|0|0|
227|META-FORMS|27/05/2012|2012|0|0|
228|MINI-ENCASTREMENTS MAMANS ET PETITS|27/05/2012|2012|0|0|
229|MON PREMIER BOWLING|27/05/2012|2012|0|0|
23|ATELIER MINI-RYTHMES ET MAXI-PERLES|27/05/2012|2012|0|0|
230|MUSIKIT|27/05/2012|2012|0|0|
231|ORDINATEUR PANDA|27/05/2012|2012|0|0|
232|OU EST-CE ?|27/05/2012|2012|0|0|
233|Pappillon musical|27/05/2012|2012|0|5|
234|Logicoloredo lot n°2|27/05/2012|2012|0|0|
235|PARCOURS TACTILE VAGUE|27/05/2012|2012|0|0|
236|PEDALIER D'EQUILIBRE|27/05/2012|2012|0|0|
237|PERCEPTION TACTILE 1|27/05/2012|2012|0|0|
238|PETIT SAVANT JUNIOR|27/05/2012|2012|0|0|
239|PHOTOS DE SEQUENCES|27/05/2012|2012|0|0|
24|ATELIER QUADRILUDI TABLEAUX LOGIQUES|27/05/2012|2012|0|0|
240|PINCES DOMINOS|27/05/2012|2012|0|0|
241|PLANCHE A VISSER|27/05/2012|2012|0|0|
242|PLASMA CAR|27/05/2012|2012|0|0|
243|POINTEUR SURLIGNEUR|27/05/2012|2012|0|0|
244|POMME A LACER|27/05/2012|2012|0|0|
245|PORTE-CARTE|27/05/2012|2012|0|0|
246|POUPEES GIGOGNES|27/05/2012|2012|0|0|
247|POUSSIN VENTOUSE|27/05/2012|2012|0|0|
248|PUPITRE D'ACTIVITES PARLANT|27/05/2012|2012|0|0|
249|PUPITRE JEU D'ADRESSE|27/05/2012|2012|0|0|
25|ATELIER TRIOLO|27/05/2012|2012|0|0|
250|PUZZLE D'ASSOCIATION ANIMAUX|27/05/2012|2012|0|0|
251|PUZZLE DE TRI EN BOIS|27/05/2012|2012|0|0|
252|Puzzle découverte du corps (FILLE)|27/05/2012|2012|13,5|0|
253|PUZZLE DECOUVERTE DU CORPS (GARCON)|27/05/2012|2012|0|0|
254|PUZZLE DISNEY|27/05/2012|2012|0|0|
255|PUZZLE DU ROI LION|27/05/2012|2012|0|0|
256|PUZZLE ELEPHANT|27/05/2012|2012|0|0|
257|PUZZLE LA France PAR REGION|27/05/2012|2012|0|0|
258|PUZZLE MICKEY DANS SA VOITURE ROUGE|27/05/2012|2012|0|0|
259|PUZZLE MICKEY, MINNIE ET DAISY|27/05/2012|2012|0|0|
26|AUTODICTEE DE NOMS|27/05/2012|2012|0|0|
260|JEU DU PLUS PETIT AU PLUS GRAND|27/05/2012|2012|0|0|
261|PUZZLE SEQUENCES EN BOIS|27/05/2012|2012|0|0|
262|PUZZLE 2 PIECES ANIMAUX|27/05/2012|2012|0|0|
263|PUZZLES GEANTS PAQUERETTE ET SES AMIS|27/05/2012|2012|0|0|
264|PUZZLE WINNIE X 4|27/05/2012|2012|0|0|
265|PUZZLE WINNIE X 8|27/05/2012|2012|0|0|
266|PYRAMIDE D'ANNEAUX|27/05/2012|2012|0|0|
267|QUADRIMEMO FORMES ET COULEURS|27/05/2012|2012|0|0|
268|RAFLE DE CHAUSSETTES|27/05/2012|2012|0|0|
269|RECONNAISSANCE DES SONS|27/05/2012|2012|0|0|
27|AUTODICTEE DES VERBES|27/05/2012|2012|0|0|
270|REGLE DE LECTURE|27/05/2012|2012|0|0|
271|RESOLUTIONS DE CONFLITS A L'ECOLE|27/05/2012|2012|0|0|
272|ROLLER BOARD|27/05/2012|2012|0|0|
273|ROTATOR|27/05/2012|2012|0|0|
274|SAFARI RUSHHOUR|27/05/2012|2012|0|0|
275|SEQUENCES BASIQUES NIVEAU 1|27/05/2012|2012|0|0|
276|SERPENT VIBRANT|27/05/2012|2012|0|0|
277|STRUCTURO|27/05/2012|2012|0|0|
278|Les légionnaires romains Playmobil livre|27/05/2012|2012|0|5|
279|SURLIGNEUR DE TEXTE|27/05/2012|2012|0|0|
28|BABY PISTES MAGIQUES|27/05/2012|2012|0|0|
280|Logicoloredo lot n°3|27/05/2012|2012|0|0|
281|TACTILO SURFACES|27/05/2012|2012|0|0|
282|TACTIL'RELIEF|27/05/2012|2012|0|0|
283|54 briques en bois|27/05/2012|2012|0|20|
284|TAMBOUR OCEAN|27/05/2012|2012|0|0|
285|lettres magnétiques en bois|27/05/2012|2012|0|15|
286|Premiers mots|27/05/2012|2012|0|5|
287|Ma boîte magnets pour apprendre les mots|27/05/2012|2012|0|10|
288|TOBOGGAN A VOITURES|27/05/2012|2012|0|0|
289|TORTUE A BASCULE|27/05/2012|2012|0|0|
29|BAC DE DECOUVERTE AVEC SES ACCESSOIRES|27/05/2012|2012|0|0|
290|TRICYCLE TONICROSS PLUS|27/05/2012|2012|0|0|
291|UNE JOURNEE AVEC FLO|27/05/2012|2012|0|0|
292|VEHICULES A LACER|27/05/2012|2012|0|0|
293|6 fidgets à bille|27/05/2012|2012|0|10|
294|VOITURE POP CORN|27/05/2012|2012|0|0|
295|VOITURE POUSSE-ROULE BABAR|27/05/2012|2012|0|0|
296|VOITURE POUSSE-ROULE POLICE|27/05/2012|2012|0|0|
297|VOLANT|27/05/2012|2012|0|0|
298|WAGONNETS AVEC BLOCS DE CONSTRUCTION|27/05/2012|2012|0|0|
299|BEAD MACHINE|27/05/2012|2012|0|0|
3|1er LOT DE PLAQUES TACTILES|27/05/2012|2012|0|0|
30|BALANCE A PLATEAUX|27/05/2012|2012|0|0|
300|Fauteuil œuf rouge|27/05/2012|2012|0|65|
301|DECLIC MAI-JUIN 2010|27/05/2012|2012|0|0|
302|SEQUENCES BASIQUES NIVEAU 2|27/05/2012|2012|0|0|
303|Gros dominos animaux/constellations|27/05/2012|2012|0|5|
304|puzzle chevaux 45 pièces|27/05/2012|2012|5|0|
305|LOTO DES ANIMAUX FAMILIERS|27/05/2012|2012|0|0|
306|Flooor puzzle|27/05/2012|2012|0|5|
307|CHASSE-CROISE|27/05/2012|2012|0|0|
308|Puzzle Fairies|27/05/2012|2012|0|5|
309|BALANCOIRE RONDE n°2|27/05/2012|2012|0|0|
31|BALANCOIRE RONDE n°1|27/05/2012|2012|0|0|
310|ABAQUE DE TRI|28/05/2012|2012|0|0|
311|L'enfant autiste|13/08/2012|2012|0|0|
312|Moi, l'enfant autiste|13/08/2012|2012|0|0|
313|Je suis né un jour bleu|13/08/2012|2012|0|0|
314|Claudin, classé X chez les dinormos|13/08/2012|2012|0|0|
315|Une personne à part entière|13/08/2012|2012|0|0|
316|Ma vie d'autiste|13/08/2012|2012|0|0|
317|Autisme infantile|13/08/2012|2012|0|0|
318|L'énigme des enfants autistes|13/08/2012|2012|0|0|
319|Autisme : états des lieux et horizons|13/08/2012|2012|0|0|
32|BALLE A PICOTS SOUPLES|27/05/2012|2012|0|0|
320|La pratique du packing|13/08/2012|2012|0|0|
321|Vaincre l'autisme|13/08/2012|2012|0|0|
322|Autisme et psychose|13/08/2012|2012|0|0|
323|L'autisme, de la compréhension à l'intervention|13/08/2012|2012|0|0|
324|Comment pense une personne autiste ?|13/08/2012|2012|0|0|
325|Améiorer la qualité de vie des personnes autistes|13/08/2012|2012|0|0|
326|Autisme et personnalité|13/08/2012|2012|0|0|
327|Autisme, comprendre et agir|13/08/2012|2012|0|0|
328|L'enfant autiste|13/08/2012|2012|0|0|
329|L'aide au très jeune enfant atteint d'autisme|13/08/2012|2012|0|0|
33|BALLE HERISSON|27/05/2012|2012|0|0|
330|Stratégies éducatives de l'autisme|13/08/2012|2012|0|0|
331|Activités d'enseignement pour enfants autistes|13/08/2012|2012|0|0|
332|DOMINO 4|13/08/2012|2012|0|0|
333|Guide Déclic SOMMEIL DIFFICILE|13/08/2012|2012|0|0|
334|Guide Déclic ETRE PARENT D'ENFANT DIFFERENT|13/08/2012|2012|0|0|
335|Guide Déclic WEEK-ENDS ET SORTIES EN FAMILLE|13/08/2012|2012|0|0|
336|DECLIC JUILLET-AOUT 2012|13/08/2012|2012|0|0|
337|Déclicseptembre-octobre 2012|05/07/2013|2013|0|0|
338|Déclic novembre-décembre 2012|05/07/2013|2013|0|0|
339|Déclic janvier-février 2013|05/07/2013|2013|0|0|
34|BALLE XAXA|27/05/2012|2012|0|0|
340|Déclic mars-avril 2013|05/07/2013|2013|0|0|
341|Livre : Si on me touche, je n'existe plus|05/07/2013|2013|0|0|
342|Déclic mai-juin 2013|05/07/2013|2013|0|0|
343|Je comprends tout! CP|05/07/2013|2013|0|5|
344|CD Rom "Joue avec Diddl et ses amis" n°1|05/07/2013|2013|0|0|
345|CD Rom "Joue avec Diddl et ses amis" N°2|05/07/2013|2013|0|0|
981|Coussin d'air de postionnement Junior|18/02/2017|2017|0|0|
982|Coussin d'air de positionnement adulte|18/02/2017|2017|0|0|
983|Coussin de cou lourd|18/02/2017|2017|0|0|
984|Gilet de pression XS|18/02/2017|2017|0|0|
985|Gilet de pression M|18/02/2017|2017|0|0|
986|Gant lesté petit droit|18/02/2017|2017|0|0|
987|Gant lesté petit gauche|18/02/2017|2017|0|0|
988|Gant lesté moyen droit|18/02/2017|2017|0|0|
989|Gant lesté moyen gauche|18/02/2017|2017|0|0|
99|DECLIC MARS-AVRIL 2012|27/05/2012|2012|0|0|
990|Surprise en cuisine|22/02/2017|2017|0|0|
991|Droles de voisins !|22/02/2017|2017|0|0|
992|La console ensorcelée|22/02/2017|2017|0|0|
993|Max et le cirque aux papillons|22/02/2017|2017|0|0|
994|Tom et le trésor de Mokodo|22/02/2017|2017|0|0|
995|Le CP de sami|22/02/2017|2017|0|0|
996|Super Sami|22/02/2017|2017|0|0|
997|La nuit|22/02/2017|2017|2,95|0|
998|Tobi est malade|22/02/2017|2017|0|0|
999|Le tipi de Sami|22/02/2017|2017|0|0|
1274|Série douze sur douze Cycle 2 partie 1|10/01/2019|2019|42|0|
1275|Série Douze sur douze cycle 2|10/01/2019|2019|42|0|
1276|Educartes Les Métiers|10/01/2019|2019|9,9|0|
1289|veste de pression|21/01/2019|2019|0|29|
1290|puzzle bois chantier|21/01/2019|2019|0|10|
1291|puzzle bois camion|21/01/2019|2019|0|10|
